name,location_district,lat,lon
UDD PMI Kabupaten Malang,Malang,-8.128317815,112.5705106
Klinik Dava,Sumbermanjing Kulon,-8.300642,112.49658
Klinik Basmalah,Pagelaran,-8.183560326,112.5913737
Klinik Muslimat,Singosari,-7.705902615,112.6267552
Klinik Pace,Pakisaji,-8.059743197,112.6018933
KRI Al-Bashiroh,Turen,-8.173224545,112.6748577
KRI Cahaya Medika,Gondanglegi,-8.164649764,112.5974138
KRI Muhammadiyah,Sumberpucung,-8.156132072,112.4769964
KRI Sains Medika,Tirtoyudo,-8.219833197,112.8058524
KRI Tri Husada,Tirtoyudo,-8.226388639,112.8354031
KRI Wajak Husada,Wajak,-8.094819361,112.7077572
RS Bala Keselamatan,Turen,-8.169364521,112.6998551
RS Brawijaya,Lawang,-7.844607003,112.701835
RS Enggal Dangan,Pakis,-7.961451542,112.6828069
RS Global Sarana,Dampit,-8.211343472,112.7587288
RS Lawang Medika,Lawang,-7.853113995,112.6931327
RS Marsudi Waluyo,Singosari,-7.905476897,112.6560456
RS Mitra Delima,Bululawang,-8.111582306,112.6364771
RS Pindad,Turen,-7.959631571,112.7097979
RS Prasetya Husada,Karlos,-7.904375812,112.6087179
RS Prima Husada,Singosari,-7.903801959,112.6573678
RS Ramdani,Kromengan,-8.130419238,112.5460142
RS Salsabila Husada,Kromengan,-8.13928846,112.5316232
RS Teja Husada,Kepanjen,-8.111843863,112.576303
RS Wava Husada,Kepanjen,-8.116055744,112.5742281
RSBK Hasta Husada,Kepanjen,-8.124176687,112.5658938
RSI Gondanglegi,Gondanglegi,-8.170090815,112.6406136
RSIA Benmari,Kendalpayak,-8.052090792,112.6273987
RSIA Siti Mariam,Lawang,-7.847961312,112.6966324
RSJ dr.Radjiman,Lawang,-7.824717157,112.7155902
RSUD Kanjuruhan,Kepanjen,-8.143549579,112.5699976
RSUD Lawang,Lawang,-7.831677937,112.6949748
RS Galeri Candra,Malang,-7.94774311,112.6195901
RS Hermina Tangkuban Prau,Malang,-7.97771045,112.6244847
RS Lavalete,Malang,-7.96484424,112.6378878
RS Panti Nirmala,Malang,-7.99394014,112.6341386
RS Permata Bunda,Malang,-7.929779926,112.6222524
RS Puri Bunda,Malang,-7.948481693,112.6521215
RS Melati Husada,Malang,-7.975659148,112.6211781
RS Persada Hospital,Malang,-7.934706234,112.6502893
RS Unisma,Malang,-7.939922569,112.6087871
RSIA Aisiyah,Malang,-7.987703525,112.6256407
RST dr. Soepraoen,Malang,-7.9901433,112.6213929
RS Hasta Brata,Batu,-7.87146455,112.5238172
RS Punten,Batu,-7.838861043,112.5305659
RS Mardi Waluyo,Blitar,-8.084157194,112.1769763
RS Permata Hati,Malang,-7.979587826,112.660608
RS Aminah,Blitar,-8.067626939,112.1667396
RS An Nisa,Blitar,-8.082881633,112.3016685
RSUD Ngudi Waluyo,Wlingi,-8.0828803,112.3152192
RS dr. Iskak,Tulungagung,-8.054626933,111.9180957
RS Sahabat,Sukorejo,-7.68789639,112.7093491
BDRS Kanjuruhan,Kepanjen,-8.143326546,112.5699225
BRRS Wava Husada,Kepanjen,-8.116045123,112.5741959
BDRS Karsa Husada,Batu,-7.872020424,112.5234973
BDRS UMM,Malang,-7.919077345,112.5998705
UTD RS Saiful Anwar,Malang,-7.971718296,112.6314942
UDD PMI Kabupaten Mojokerto,Kabupaten Mojokerto,-7.482664548,112.4652832
UDD PMI Kabupaten Kediri,Kabupaten Kediri,-7.713907111,112.1941866
UDD PMI Kota Mojokerto,Kota Mojokerto,-7.46124074,112.4321476
UDD PMI Kabupaten Lamongan,Kabupaten Lamongan,-7.114119829,112.4095647
UDD PMI Kabupaten Ponorogo,Kabupaten Ponorogo,-7.867809015,111.4715505
UDD PMI Kota Kediri,Kota Kediri,-7.803294069,112.0113306
UDD PMI Kota Madiun,Kota Madiun,-7.625891285,111.5254731
UDD PMI Kabupaten Trenggalek,Kabupaten Trenggalek,-8.058684991,111.7028481
UDD PMI Kabupaten Gresik,Kabupaten Gresik,-7.163839198,112.6344525
UDD PMI Kabupaten Wonogiri,Kabupaten Wonogiri,-7.801259421,110.9151579
UDD PMI Kabupaten Probolinggo,Kabupaten Probolinggo,-7.75797224,113.4386882
UDD PMI Kota Batu,Kota Batu,-7.870795962,112.5242436
